cookie_name,Placed_by,Functionality,purpose
ibx_wpfomo_ip,WPfomify,to read user IP address.,Preferences
_wpfuuid,WPForms,to store a unique user ID.,Preferences
messagesUtk,HubSpot,"to store browser details, store performed actions on the website.",Preferences
hs-messages-is-open,HubSpot,to store if a message has been shown.,Preferences
mailmunch_second_pageview,MailMunch,"to provide subscription service, store user preferences.",Preferences
esaf_click,EasyAffiliate,to store referrer ID's.,Statistics (anonymous)
afwc_campaign,Affiliate for WooCommerce,to store and track the affiliate campaign.,Statistics (anonymous)
elementor_split_test_client_id,Elementor,to store a unique user ID.,Statistics (anonymous)
wpf_read_forums,WPForms,to store and count pageviews.,Statistics (anonymous)
_pk_testcookie*,Matomo,to store and count pageviews.,Statistics (anonymous)
elementor,Elementor,to store performed actions on the website.,Statistics (anonymous)
gadwp_wg_default_swmetric,Google Analytics Dashboard for WP,to store and count pageviews.,Statistics (anonymous)
gadwp_wg_default_dimension,Google Analytics Dashboard for WP,to store and count pageviews.,Statistics (anonymous)
gadwp_wg_default_metric,Google Analytics Dashboard for WP,to store and count pageviews.,Statistics (anonymous)
_hjIncludedInSample,Hotjar,to store anonymized statistics.,Statistics (anonymous)
affwp_ref_visit_id,Affiliate WP,to store a unique user ID.,Statistics (anonymous)
affwp_campaign,Affiliate WP,to store referring website.,Statistics (anonymous)
affwp_ref,Affiliate WP,to store referrer ID's.,Statistics (anonymous)
complianz_config,Complianz,to provide a responsive website.,Statistics (anonymous)
piwik_ignore,Matomo,with unknown functionality,Statistics (anonymous)
_pk_hsr,Matomo,with unknown functionality,Statistics (anonymous)
_pk_ses*,Matomo,to store a unique session ID.,Statistics (anonymous)
_pk_id*,Matomo,to store a unique user ID.,Statistics (anonymous)
_pk_cvar,Matomo,with unknown functionality,Statistics (anonymous)
_pk_ref*,Matomo,to store referrer ID's.,Statistics (anonymous)
PIWIK_SESSID,Matomo,with unknown functionality,Statistics (anonymous)
gadwp_ir_default_metric,Google Analytics Dashboard for WP,to store and count pageviews.,Statistics (anonymous)
gadwp_ir_default_swmetric,Google Analytics Dashboard for WP,to store and count pageviews.,Statistics (anonymous)
gadwp_wg_default_view,Google Analytics Dashboard for WP,to store and count pageviews.,Statistics (anonymous)
_cb_svref,Chartbeat,with unknown functionality,Statistics
_cb_svref_expires,Chartbeat,with unknown functionality,Statistics
_chartbeat4_expires,Chartbeat,with unknown functionality,Statistics
_chartbeat2_expires,Chartbeat,with unknown functionality,Statistics
_chartbeat4,Chartbeat,with unknown functionality,Statistics
_chartbeat5_expires,Chartbeat,with unknown functionality,Statistics
_cb_expires,Chartbeat,with unknown functionality,Statistics
_chartbeat5,Chartbeat,with unknown functionality,Statistics
ifso_visit_counts,If So,to store number of visits.,Statistics
ifso_viewing_triggers,If So,to store data on the performance of content.,Statistics
__insp_lml,Inspectlet,with unknown functionality,Statistics
__insp_norec_sess,Inspectlet,with unknown functionality,Statistics
__insp_pad,Inspectlet,with unknown functionality,Statistics
__insp_slim,Inspectlet,with unknown functionality,Statistics
__insp_targlpt,Inspectlet,with unknown functionality,Statistics
__insp_targlpu,Inspectlet,with unknown functionality,Statistics
jv_refer_*,Jivochat,to store referrer ID's.,Statistics
vuid,Vimeo,to store the user's usage history.,Statistics
gist-state,Gist,to store and count pageviews.,Statistics
wistia-video-progress-*,Wistia,to store if the user has seen embedded content.,Statistics
pys_utm_campaign,PixelYourSite,to Provide parameters to URLs to identify the campaigns that refer traffic.,Statistics
brz-pagesViews,Brizy,to store which page was visited first.,Statistics
brz-pagesViewsInSessionTimeLine,Brizy,with unknown functionality,Statistics
brz-lastVisit,Brizy,to store last visit.,Statistics
oribi_user_guid,Oribi,with unknown functionality,Statistics
oribi_session,Oribi,with unknown functionality,Statistics
gtm4wp_orderid_tracked,Google Tag Manager for Wordpress,with unknown functionality,Statistics
__insp_mslc,Inspectlet,with unknown functionality,Statistics
__insp_msld,Inspectlet,with unknown functionality,Statistics
__insp_ss,Inspectlet,with unknown functionality,Statistics
is_unique,Statcounter,to store unique visits.,Statistics
_hjAbsoluteSessionInProgress,Hotjar,to store unique visits.,Statistics
_first_pageview,Clicky,to store which page was visited first.,Statistics
statcounter_session,Statcounter,to store a unique session ID.,Statistics
utm_source,Google Analytics,to Provide parameters to URLs to identify the campaigns that refer traffic.,Statistics
utm_campaign,Google Analytics,to Provide parameters to URLs to identify the campaigns that refer traffic.,Statistics
statcounter_bounce,Statcounter,to store and record bounced visits.,Statistics
pysTrafficSource,PixelYourSite,to store referring website.,Statistics
pys_utm_term,PixelYourSite,to Provide parameters to URLs to identify the campaigns that refer traffic.,Statistics
pys_utm_source,PixelYourSite,to Provide parameters to URLs to identify the campaigns that refer traffic.,Statistics
scrwidth,,to read screen resolution.,Statistics
LPV*,Pardot,to store and count pageviews.,Statistics
pys_utm_medium,PixelYourSite,to Provide parameters to URLs to identify the campaigns that refer traffic.,Statistics
pys_utm_content,PixelYourSite,to Provide parameters to URLs to identify the campaigns that refer traffic.,Statistics
pys_landing_page,PixelYourSite,to store which page was visited first.,Statistics
_hjIncludedInSessionSample,Hotjar,with unknown functionality,Statistics
_hjIncludedInPageviewSample,Hotjar,with unknown functionality,Statistics
brz-firstVisit,Brizy,to store which page was visited first.,Statistics
_gac_UA-*,Google Analytics,to store and count pageviews.,Statistics
damd,Dailymotion,to store performed actions on the website.,Statistics
